,Facility Id,FRS Id,Facility Name,City,State,Primary NAICS Code,Reporting Year,Industry Type (subparts),Industry Type (sectors),Unit Name,Unit Type,Unit Reporting Method,Unit Maximum Rated Heat Input Capacity (mmBTU/hr),Unit CO2 emissions (non-biogenic) ,Unit Methane (CH4) emissions ,Unit Nitrous Oxide (N2O) emissions ,Unit Biogenic CO2 emissions (metric tons),City2,Zip Code,Address,County,Latitude,Longitude,Cement Production,Industry Type (subparts)2,Industry Type (sectors)2
0,1012089,,"Aemetis Advanced Fuels Keyes, Inc.",Ceres,CA,325193,2019,C,Other,GP-Multiple Units,OCS (Other combustion source),Tier1/2/3,99.0,75808.7,35.75,42.614,0.0,Ceres,95307,4209 Jessup Road,STANISLAUS COUNTY,37.553007,-120.916475,,C,Other
1,1002316,110043804425.0,Aera Energy 25 Hill,Maricopa,CA,211120,2019,C,Petroleum and Natural Gas Systems,25 Hill Operator Building,CH (Comfort heater),Tier1/2/3,0.075,6.0,0.0,0.0,0.0,Maricopa,93252,29235 Highway 33,KERN COUNTY,35.09233,-119.407371,,C,Petroleum and Natural Gas Systems
2,1002316,110043804425.0,Aera Energy 25 Hill,Maricopa,CA,211120,2019,C,Petroleum and Natural Gas Systems,CP-HILL-01,OCS (Other combustion source),Tier1/2/3,62.5,89133.3,42.0,50.064,0.0,Maricopa,93252,29235 Highway 33,KERN COUNTY,35.09233,-119.407371,,C,Petroleum and Natural Gas Systems
3,1002316,110043804425.0,Aera Energy 25 Hill,Maricopa,CA,211120,2019,C,Petroleum and Natural Gas Systems,CP-HILL-02,OCS (Other combustion source),Tier1/2/3,62.5,25632.9,12.0,14.304,0.0,Maricopa,93252,29235 Highway 33,KERN COUNTY,35.09233,-119.407371,,C,Petroleum and Natural Gas Systems
4,1002316,110043804425.0,Aera Energy 25 Hill,Maricopa,CA,211120,2019,C,Petroleum and Natural Gas Systems,CP-HILL-03,OCS (Other combustion source),Tier1/2/3,62.5,27028.8,12.75,15.198,0.0,Maricopa,93252,29235 Highway 33,KERN COUNTY,35.09233,-119.407371,,C,Petroleum and Natural Gas Systems
5,1002316,110043804425.0,Aera Energy 25 Hill,Maricopa,CA,211120,2019,C,Petroleum and Natural Gas Systems,Kendon SG #45_Waste,"OB (Boiler, other)",Tier1/2/3,62.5,530.6,0.25,0.298,0.0,Maricopa,93252,29235 Highway 33,KERN COUNTY,35.09233,-119.407371,,C,Petroleum and Natural Gas Systems
6,1002156,110043792483.0,Aera Energy Alberta Finley Shale,Fellows,CA,211120,2019,C,Petroleum and Natural Gas Systems,CP-AFS-01,OCS (Other combustion source),Tier1/2/3,62.5,70582.8,33.25,39.634,0.0,Fellows,93224,25401 Highway 33,KERN COUNTY,35.23147,-119.57948,,C,Petroleum and Natural Gas Systems
7,1006844,110043802748.0,Aera Energy Anderson Fitzgerald,McKittrick,CA,211120,2019,C,Petroleum and Natural Gas Systems,CP-AF-01,OCS (Other combustion source),Tier1/2/3,62.5,128484.5,60.5,72.116,0.0,McKittrick,93251,59231 Main Camp Road,KERN COUNTY,35.299879,-119.742604,,C,Petroleum and Natural Gas Systems
8,1006844,110043802748.0,Aera Energy Anderson Fitzgerald,McKittrick,CA,211120,2019,C,Petroleum and Natural Gas Systems,CP-AF-02,OCS (Other combustion source),Tier1/2/3,62.5,41535.4,19.5,23.244,0.0,McKittrick,93251,59231 Main Camp Road,KERN COUNTY,35.299879,-119.742604,,C,Petroleum and Natural Gas Systems
9,1006845,110043799752.0,Aera Energy Belridge,McKittrick,CA,211120,2019,C,Petroleum and Natural Gas Systems,Belridge Office - EPA [11-12-13],CH (Comfort heater),Tier1/2/3,6.48,355.4,0.25,0.298,0.0,McKittrick,93251,59231 Main Camp Road,KERN COUNTY,35.45306,-119.719337,,C,Petroleum and Natural Gas Systems
