,pool_id,Latitude,Longitude,WellDepth,nwells,offshore,setback_any,gas2co2,oil2co2,totalco2,abandoned
0,Afton Gas:Northwest (ABD):Forbes,39.472635,-121.983906,,3,0,0,25504.869840019197,0.0,25504.869840019197,True
1,Afton Gas:Northwest (ABD):Guinda,39.47921051,-121.9744725,,1,0,0,10810.0890278784,0.0,10810.0890278784,True
2,"Afton, South, Gas (ABD)::Kione",39.422266,-121.967836,,1,0,0,5683.8446273088,0.0,5683.8446273088,True
3,Alegria Offshore (ABD)::Vaqueros-Alegria,34.444741,-120.27295900000001,,1,0,0,32628.170255097597,38504.199475065616,71132.36973016322,True
4,Aliso Canyon::,34.3213501,-118.58237460000001,,1,0,0,6.0080999616,23.228346456692915,29.236446418292914,False
5,Aliso Canyon::Aliso,34.314967455,-118.5584267,,16,0,0,72196.41880150509,62610.23328138255,134806.65208288765,False
6,"Aliso Canyon::Aliso, West",34.317808745,-118.57079114999999,,2,0,0,9034.604457407999,8443.503937007874,17478.108394415874,False
7,Aliso Canyon::Porter-Del Aliso A-36,34.320148085,-118.7026812,11586.0,98,0,19,757194.9341676268,628592.0490608753,1385786.983228502,False
8,Aliso Canyon::Sesnon-Frew,34.31311595,-118.5559275,7850.0,107,0,1,88766216.32774998,140723.4251968504,88906939.75294684,False
9,Aliso Canyon::Wigdal,34.321349,-118.58237199999999,7866.0,1,0,0,15367.8093835968,15785.236220472441,31153.04560406924,False
10,Alondra (ABD):pool,33.88781551,-118.3357216,,1,0,0,264.23502255359995,2329.790026246719,2594.0250488003194,True
11,Angel Slough Gas (ABD)::Forbes,39.40748615,-121.9413351,,1,0,0,8769.701868192,0.0,8769.701868192,True
12,Ant Hill::Olcese,35.398903999999995,-118.85598700000001,4106.0,45,0,26,6431.215849804799,169191.07777106293,175622.29362086774,False
13,"Antelope Hills, North::Miocene-Eocene",35.576382,-119.9067689,2800.0,101,0,0,51107.484183259534,332240.2940791666,383347.77826242615,False
14,"Antelope Hills, North::Point of Rocks",35.57823732,-119.9092151,1556.5,40,0,0,475.5502151424,103483.59681869423,103959.14703383663,False
