ReportType,fieldname,FieldCode,District,DispositionDate,OilUsed,GasUsed,GasBlown,ReportedOrEstimated
OG110D,Aliso Canyon,010,Coastal,2020-01-31 00:00:00,0,291,0,Reported
OG110D,Aliso Canyon,010,Coastal,2020-01-31 00:00:00,0,656,0,Reported
OG110D,Aliso Canyon,010,Coastal,2020-02-29 00:00:00,0,322,0,Reported
OG110D,Aliso Canyon,010,Coastal,2020-02-29 00:00:00,0,798,0,Reported
OG110D,Aliso Canyon,010,Coastal,2020-03-31 00:00:00,0,302,0,Reported
OG110D,Aliso Canyon,010,Coastal,2020-03-31 00:00:00,0,940,0,Reported
OG110D,Aliso Canyon,010,Coastal,2020-04-30 00:00:00,0,310,0,Reported
OG110D,Aliso Canyon,010,Coastal,2020-04-30 00:00:00,0,541,0,Reported
OG110D,Aliso Canyon,010,Coastal,2020-05-31 00:00:00,0,330,0,Reported
OG110D,Aliso Canyon,010,Coastal,2020-05-31 00:00:00,0,420,0,Reported
OG110D,Aliso Canyon,010,Coastal,2020-06-30 00:00:00,0,312,0,Reported
OG110D,Aliso Canyon,010,Coastal,2020-06-30 00:00:00,0,420,0,Reported
OG110D,Aliso Canyon,010,Coastal,2020-07-31 00:00:00,0,340,0,Reported
OG110D,Aliso Canyon,010,Coastal,2020-07-31 00:00:00,0,420,0,Reported
OG110D,Aliso Canyon,010,Coastal,2020-08-31 00:00:00,0,327,0,Reported
OG110D,Aliso Canyon,010,Coastal,2020-08-31 00:00:00,0,379,0,Reported
OG110D,Aliso Canyon,010,Coastal,2020-09-30 00:00:00,0,313,0,Reported
OG110D,Aliso Canyon,010,Coastal,2020-09-30 00:00:00,0,407,0,Reported
OG110D,Aliso Canyon,010,Coastal,2020-10-31 00:00:00,0,334,0,Reported
OG110D,Aliso Canyon,010,Coastal,2020-10-31 00:00:00,0,420,0,Reported
OG110D,Aliso Canyon,010,Coastal,2020-11-30 00:00:00,0,290,0,Reported
OG110D,Aliso Canyon,010,Coastal,2020-11-30 00:00:00,0,407,0,Reported
OG110D,Aliso Canyon,010,Coastal,2020-12-31 00:00:00,0,289,0,Reported
OG110D,Aliso Canyon,010,Coastal,2020-12-31 00:00:00,0,420,0,Reported
OG110D,Antelope Hills,020,Inland,2020-01-31 00:00:00,0,379,0,Reported
OG110D,Antelope Hills,020,Inland,2020-02-29 00:00:00,0,354,0,Reported
OG110D,Antelope Hills,020,Inland,2020-03-31 00:00:00,0,380,0,Reported
OG110D,Antelope Hills,020,Inland,2020-04-30 00:00:00,0,364,0,Reported
OG110D,Antelope Hills,020,Inland,2020-05-31 00:00:00,0,381,0,Reported
OG110D,Antelope Hills,020,Inland,2020-06-30 00:00:00,0,372,0,Reported
OG110D,Antelope Hills,020,Inland,2020-07-31 00:00:00,0,382,0,Reported
OG110D,Antelope Hills,020,Inland,2020-08-31 00:00:00,0,381,0,Reported
