ReportType,FIELDName,FieldCode,OtherWaterAllocationDate,WaterBBL,WaterSuitable,WaterTreated,WaterTreatedDeOiling,WaterTreatedDisinfection,WaterTreatedDesalinization,WaterTreatedMembraneTreatment,WaterTreatedOtherTreatment,WaterinStorage,IntendedUseofWaterCode,WaterSourceName,WaterSourceType
OG110FQ,Aliso Canyon,010,2021-04-28 17:59:49.943000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Aliso Canyon,010,2021-05-06 21:13:18.040000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Aliso Canyon,010,2021-07-29 13:47:06.490000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Aliso Canyon,010,2021-07-30 16:05:15.443000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Aliso Canyon,010,2021-07-30 21:03:47.240000000,14497,Yes,,No,No,No,No,No,No,,,
OG110FQ,Aliso Canyon,010,2021-08-09 20:29:27.970000000,16598,Yes,,No,No,No,No,No,No,,,
OG110FQ,Any Field,000,2021-04-15 18:21:53.737000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Any Field,000,2021-04-15 18:39:54.757000000,3745188,No,,No,No,No,No,Yes,No,01,,
OG110FQ,Any Field,000,2021-04-22 18:29:00.920000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Any Field,000,2021-04-22 23:24:38.040000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Any Field,000,2021-04-28 13:43:33.520000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Any Field,000,2021-04-28 17:59:49.990000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Any Field,000,2021-04-28 18:21:37.013000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Any Field,000,2021-04-29 22:22:09.153000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Any Field,000,2021-07-09 21:06:29.067000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Any Field,000,2021-07-16 17:15:49.620000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Any Field,000,2021-07-19 21:27:34.300000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Any Field,000,2021-07-21 16:54:07.580000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Any Field,000,2021-07-21 23:06:32.560000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Any Field,000,2021-07-26 19:16:37.483000000,1625795,No,,No,No,No,No,Yes,No,01,,
OG110FQ,Any Field,000,2021-07-29 13:47:06.537000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Any Field,000,2021-07-30 19:37:57.470000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Any Field,000,2021-08-02 13:30:33.597000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Any Field,000,2021-08-02 14:34:31.400000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Any Field,000,2021-08-02 20:32:33.873000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Arroyo Grande,028,2021-05-03 16:54:59.310000000,36000,No,,No,No,No,No,No,No,08,,
OG110FQ,Arroyo Grande,028,2021-07-30 18:32:44.763000000,36400,No,,No,No,No,No,No,No,08,,
OG110FQ,Asphalto,032,2021-04-13 21:01:53.740000000,41095,No,,No,No,No,No,No,No,,,
OG110FQ,Asphalto,032,2021-04-28 19:24:40.120000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Asphalto,032,2021-05-06 21:13:18.087000000,57053,No,,Yes,No,No,No,No,No,01,,
OG110FQ,Asphalto,032,2021-07-14 19:10:30.973000000,53795,No,,No,No,No,No,No,No,,,
OG110FQ,Asphalto,032,2021-07-30 16:05:15.540000000,72857,No,,Yes,No,No,No,No,No,01,,
OG110FQ,Asphalto,032,2021-07-31 02:07:45.590000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Barham Ranch,038,2021-04-15 18:21:53.800000000,20160,No,,No,No,No,No,No,No,05,,
OG110FQ,Barham Ranch,038,2021-07-16 17:15:49.683000000,1050,No,,No,No,No,No,No,No,05,,
OG110FQ,Belgian Anticline,042,2021-04-29 04:32:16.397000000,50,No,,Yes,No,No,No,No,No,07,,
OG110FQ,Belgian Anticline,042,2021-07-31 03:25:15.040000000,44,No,,Yes,No,No,No,No,No,07,,
OG110FQ,Bellevue,044,2021-04-19 16:17:34.303000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Bellevue,044,2021-05-06 21:13:18.130000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Bellevue,044,2021-05-07 18:01:28.600000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Bellevue,044,2021-07-19 14:28:03.470000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Bellevue,044,2021-07-21 16:54:07.627000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Bellevue,044,2021-07-30 16:05:15.600000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Bellevue  West,046,2021-05-07 18:01:28.650000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Bellevue  West,046,2021-07-21 16:54:07.673000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Belridge  North,050,2021-04-13 21:01:53.787000000,1575,No,,No,No,No,No,No,No,,,
OG110FQ,Belridge  North,050,2021-04-28 13:43:33.757000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Belridge  North,050,2021-07-14 19:10:31.037000000,1890,No,,No,No,No,No,No,No,,,
OG110FQ,Belridge  North,050,2021-08-02 13:30:33.810000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Belridge  South,052,2021-04-22 19:59:07.340000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Belridge  South,052,2021-04-28 13:43:33.803000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Belridge  South,052,2021-05-03 16:54:59.457000000,500,Yes,,No,No,No,No,No,No,09,,
OG110FQ,Belridge  South,052,2021-06-02 18:02:57.643000000,20000,Yes,,No,No,No,No,No,No,,,06
OG110FQ,Belridge  South,052,2021-07-30 17:19:05.283000000,20000,Yes,,No,No,No,No,No,No,,,06
OG110FQ,Belridge  South,052,2021-07-30 18:32:44.907000000,500,Yes,,No,No,No,No,No,No,09,,
OG110FQ,Belridge  South,052,2021-08-02 13:30:33.867000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Belridge  South,052,2021-08-02 22:09:39.690000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Bounde Creek Gas,062,2021-04-28 17:59:50.037000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Bounde Creek Gas,062,2021-07-29 13:47:06.583000000,,No,,No,No,No,No,No,No,,,
OG110FQ,Brea-Olinda,070,2021-05-18 16:27:29.407000000,74379,No,,Yes,No,No,No,No,No,04,,
OG110FQ,Buena Vista,080,2021-04-15 18:39:54.803000000,889111,No,,No,No,No,No,Yes,No,01,,
OG110FQ,Buena Vista,080,2021-04-15 18:39:54.803000000,889111,No,,Yes,No,No,No,No,No,01,,
OG110FQ,Buena Vista,080,2021-04-30 20:18:48.273000000,546,No,,Yes,No,No,No,No,No,05,,
OG110FQ,Buena Vista,080,2021-07-26 19:16:37.530000000,99999,No,,No,No,No,No,Yes,No,01,,
OG110FQ,Buena Vista,080,2021-07-26 19:16:37.530000000,99999,No,,Yes,No,No,No,No,No,01,,
OG110FQ,Buena Vista,080,2021-08-01 03:32:30.380000000,546,No,,Yes,No,No,No,No,No,05,,
OG110FQ,Burrel,084,2021-04-13 01:58:56.970000000,45840,No,,Yes,No,No,No,No,No,05,,
OG110FQ,Burrel,084,2021-04-13 02:43:29.240000000,138973,No,,Yes,No,No,No,No,No,05,,
OG110FQ,Burrel,084,2021-07-23 14:48:40.700000000,36005,No,,Yes,No,No,No,No,No,05,,
OG110FQ,Burrel,084,2021-07-25 20:27:34.040000000,161917,No,,Yes,No,No,No,No,No,05,,
OG110FQ,Cal Canal Gas,095,2021-05-07 18:01:28.700000000,,No,,No,No,No,No,No,No,,,
